noteID,note_fr,translation_source
26,"Une valeur de –0,01 pour l’épaisseur de neige avant la mise à l’échelle (–1 après la mise à l’échelle ou en CREX) indique qu’il y a peu de neige (moins de 0,005 m). Une valeur de 0,02 m (–2 après la mise à l’échelle ou en CREX) indique une «couche de neige non continue».",PDF
27,"Sauf indication contraire, tous les temps sont des temps universels coordonnés (UTC).",PDF
28,"Une valeur de l’intensité des précipitations de –0,00001 kg m –2 s –1 avant la mise à l’échelle (–1 après la mise à l’échelle) et de –0,01 mm h –1 avant la mise à l’échelle (–1 après la mise à l’échelle), respectivement dans le code BUFR et dans le code CREX, indique qu’il y a «trace» de précipitations .",PDF
29,"La luminance énergétique mise à l’échelle (0 14 046) a été ajustée pour tenir compte des valeurs négatives qui peuvent être obtenues pour certains nombres d’ondes, soit sous l’effet du bruit soit par suite de l’apodisation. L’ajustement correspond à un ordre de grandeur plus important que l’excursion négative maximale escomptée en fonction du bruit de l’instrument, ce qui devrait laisser une marge suffisante, sans dégradation significative de la dynamique par ailleurs.",PDF
30,"Angle de l’erreur définie par 0 20 112, 0 20 113 et 0 20 114. Cartésien avec bit de signe.",PDF
31,Angle de l’erreur définie par 0 20 113 et 0 20 114. Cartésien avec bit de signe.,PDF
32,La direction ou l’azimut ne sont utilisés que par rapport à une position donnée; ils n’ont pas pour objet de définir à nouveau cette position.,PDF
33,Les numéros de version des tables principales du code BUFR sont décrits dans la table de code commune C-0 et la note 2 s’appliquant à la Section 1 du code BUFR.,PDF
34,"Certains capteurs considèrent le dépassement d’une intensité seuil, d’autres mesurent directement la variation de tension.",PDF
35,"Pour la luminance énergétique dans le canal (0 14 043), on utilise les μm pour représenter le nombre d’onde.",PDF
36,"Pour la luminance énergétique dans le canal (0 14 045), on utilise les cm pour représenter le nombre d’onde.",PDF
37,La concentration d’hydrométéores nuageux (0 20 130) représente le nombre d’hydrométéores dans un volume de 1 dm 3 .,PDF
38,La table de code 0 01 032 est à produire par chaque centre.,PDF
39,"En ce qui concerne le descripteur 0 13 009, les expéditeurs de ces données veulent être en mesure de garder la valeur brute (c’est-à-dire non traitée) de l’humidité relative transmise par le capteur, afin de pouvoir déceler, entre autres, le début du disfonctionnement d’un capteur. Ce dernier cas se produit lorsqu’une valeur négative peut apparaître. Pour un échange avec d’autres pays à l’échelle mondiale, il est possible que seules les valeurs traitées soient envoyées.",PDF
40,Les numéros de version des tables principales du code CREX sont décrits dans la table de code commune C-0.,PDF
41,"Une valeur de –0,001 pour l’épaisseur de neige fraîche (0 13 118) avant mise à l’échelle (–1 après mise à l’échelle ou en CREX) indique qu’il y a peu de neige (moins de 0,0005 m). Une valeur de –0,002 avant mise à l’échelle (–2 après mise à l’échelle ou en CREX) indique une «couche de neige non continue».",PDF
42,Il convient d’utiliser le descripteur 0 01 020 à la place du descripteur 0 01 004 pour chiffrer cet élément.,PDF
43,"Nom OMM complet de la tempête (descripteur 0 01 027): lorsqu’une perturbation identifiable n’a pas atteint le degré de puissance d’une tempête tropicale et n’a donc pas reçu de nom de baptême, le nom à mentionner dans le message est «Nameless».",PDF
44,"Si un centre autre que le centre d’origine produit des informations sur la qualité, des valeurs de remplacement ou substituées et/ou des informations statistiques, on peut désigner ce centre par 0 01 033.",PDF
45,"Le descripteur 0 01 082 sert à enregistrer le numéro dans la série correspondant à la période de radiosondage (exemple: cycle synoptique) d’une année donnée ou de toute autre durée déterminée localement. Le descripteur 0 01 083 est utilisé dans le cas d’une série de lâchers de radiosondes au cours d’une période de radiosondage (exemple: cycle synoptique), pour indiquer à quel lâcher correspondent les valeurs enregistrées.",PDF
46,Le descripteur 0 02 019 devrait être utilisé au lieu du descripteur 0 02 152 pour l’identification d’un seul instrument satellitaire.,PDF
48,"Le descripteur 0 04 041, remplacé par la combinaison des descripteurs 0 08 025 et 0 26 003, ne doit pas être utilisé pour le codage de cet élément.",PDF
49,Le descripteur 0 08 025 doit être utilisé conjointement avec le descripteur 0 26 003 (décalage dans le temps).,PDF
50,Le descripteur 0 08 033 doit être utilisé avant l’élément 0 33 007 comme partie de l’information sur le contrôle de qualité afin de spécifier la méthode utilisée pour calculer le pourcentage de confiance.,PDF
51,"Le descripteur 0 08 090 doit être utilisé pour établir l’échelle décimale d’un ou de plusieurs descripteurs d’éléments numériques consécutifs nécessitant une vaste gamme dynamique de valeurs. Le ou les descripteurs d’éléments numériques contiendront la valeur ajustée de la ou des mesures avec le nombre nécessaire de chiffres significatifs. On obtiendra la valeur réelle, au niveau de l’application, en multipliant la valeur ajustée par l’échelle décimale donnée: (valeur ajustée x 10 échelle décimale ).",PDF
52,Le descripteur 0 12 076 devrait être utilisé à la place de 0 12 072 pour coder la luminance.,PDF
53,Il convient d’utiliser le descripteur 0 13 033 au lieu du descripteur 0 13 032 pour le codage de l’évaporation/évapotranspiration.,PDF
54,Descripteur 0 22 004: la direction indiquée dans cette entrée est la direction vers laquelle s’écoule le courant.,PDF
55,Il convient d’utiliser le descripteur 0 22 040 à la place du descripteur 0 22 039 pour le codage de la hauteur de marée résiduelle météorologique (montée ou retrait des eaux).,PDF
56,Le descripteur 0 25 009 est caduc. Utiliser plutôt le 0 25 029.,PDF
57,"Le descripteur 0 25 143 est destiné à des valeurs numériques, non dimensionnelles, à utiliser comme des coefficients dans des calculs statistiques ou linéaires. Chaque occurrence du descripteur 0 25 143 doit être caractérisée par l’utilisation d’un qualificatif de signification approprié tel que 0 08 026.",PDF
59,"Le descripteur 0 31 031, utilisé conjointement avec les opérateurs 2 22 YYY à 2 32 YYY concernant le contrôle de qualité ou les statistiques, indique la présence d’informations sur le contrôle de qualité lorsque la valeur de l’indicateur est mise à zéro. Ce descripteur peut être utilisé, en même temps que l’opérateur de répétition 1 01 YYY, pour créer une table des indicateurs de présence/absence de données, formant ainsi une table binaire de présence de données selon la définition de la règle 94.5.5.3. Il est ainsi possible de présenter des informations sur le contrôle de qualité et les statistiques pour des données sélectionnées correspondant aux descripteurs d’éléments qui précèdent les opérateurs 2 22 YYY à 2 32 YYY.",PDF
60,"Pour indiquer qu’un navire se trouve en position stationnaire, il convient de mettre à zéro les descripteurs 0 01 012 et 0 01 013. Quand le cap du navire est inconnu (D s = 9), il faut donner la valeur 509 au descripteur 0 01 012.",PDF
61,"Les statistiques sur les différences sont des valeurs différentielles ayant des dimensions similaires à celles des valeurs observées correspondantes en ce qui concerne les unités, mais dont les limites sont centrées sur le zéro (par exemple, différence entre les valeurs observées et les valeurs analysées, différence entre les valeurs observées et les valeurs prévues, etc.).",PDF
62,"La distance n’est indiquée que par rapport à une position donnée et une direction, un azimut ou une hauteur angulaire; elle n’a pas pour objet de définir à nouveau cette position.",PDF
63,Le rayonnement descendant est indiqué par des valeurs positives.,PDF
64,"Les composantes w descendantes sont indiquées par des valeurs positives, pour lesquelles l’unité est le Pa s –1 .",PDF
66,Les incréments dans le sens est-ouest sont indiqués par des valeurs négatives.,PDF
69,"L’émissivité est le rapport de la quantité d’énergie émise par un corps, à la quantité d’énergie émise par un corps noir rayonnant à la même température (voir la loi de Planck). Multiplier la valeur de l’émissivité par 100 permet d’exprimer un pourcentage et fournit en outre une précision supplémentaire de deux chiffres.",PDF
70,"Les statistiques de premier ordre désignent des valeurs ayant des limites semblables et les mêmes dimensions que les valeurs observées correspondantes (par exemple, maxima, minima, moyennes, etc.).",PDF
71,"Identification du système ou processeur de localisation des éclairs, afin de préciser où le site du phénomène a été établi dans le système multi-intégré. D’ordinaire, valeur de 1.",PDF
72,"La chaîne de caractères représentant le «Nom de la caractéristique» devrait se présenter sous la forme suivante: «Type de phénomène» – «Position ou nom géographique» (par exemple: «volcan – Popocatépetl», «incendie de puits de pétrole – Koweït»).",PDF
73,"Dans le cas d’une caractéristique stationnaire, les descripteurs 0 19 005 (direction de déplacement de la caractéristique) et 0 19 006 (vitesse de déplacement de la caractéristique) sont mis à zéro.",PDF
74,"Dans le cas d’un limbosondeur de l’atmosphère, le paramètre d’impact correspond à la distance entre l’asymptote des rayons et le centre de courbure de la surface terrestre au point de tangence.",PDF
76,"Pour le numéro de version de la table locale, voir la dernière partie de la note 2 s’appliquant à la Section 1 du code BUFR.",PDF
77,"Pour ce descripteur, les valeurs négatives indiquent du bruit, un mauvais étalonnage ou la présence d’aérosols absorbants. La mise en réserve de ces valeurs permet d’établir des estimations ultérieures plus précises pour les erreurs d’étalonnage.",PDF
78,"Pour ce descripteur, les nombres supérieurs à +6 indiquent une contamination par le dioxyde de soufre, dont l’intensité augmente au fur et à mesure que la valeur du nombre augmente. Ce nombre est calculé à partir d’un relevé en unités Dobson, mais pour une température spécifique et un profil de concentrations estimé qui peuvent ne pas être représentatifs de l’état effectif de l’atmosphère. En raison de ces écarts, il est représenté sous forme d’indice numérique.",PDF
79,"Pour ce descripteur, les nombres inférieurs à –1 indiquent une prédominance d’aérosols de dispersion, dont la concentration augmente au fur et à mesure que la valeur du nombre baisse. Les nombres supérieurs à +1 indiquent une prédominance d’aérosols absorbants, dont la concentration augmente au fur et à mesure que la valeur du nombre augmente. Les nombres entre –1 et +1 indiquent des nuages ou du bruit.",PDF
80,"Pour ce descripteur, les unités représentent l’écart-type climatologique de la valeur de l’ozone troposhérique pour une altitude donnée. Par exemple, une valeur de 5,0 indique un profil pour lequel les écarts-types pour une valeur d’ozone troposphérique de 5,0 sont supérieurs à la moyenne climatologique.",PDF
81,Le descripteur 0 24 014 (débit de dose de rayonnement gamma) permet d’indiquer la valeur de cet élément dans des conditions normales et non pas en cas d’accident nucléaire.,PDF
83,"Le rayonnement ultraviolet global (0 14 072) correspond à l’énergie reçue sous forme de lumière ultraviolette, intégrée sur une période déterminée dans une bande spectrale donnée. 0 14 072 est précédé d’un descripteur de période ainsi que de la longueur d’onde spectrographique (0 02 071) et de la largeur spectrographique (0 02 072). Par exemple, quand 0 14 072 est utilisé pour indiquer le rayonnement ultraviolet global, 0 02 071 et 0 02 072 précisent la bande spectrale de 280 à 315 nm.",PDF
84,L’altitude du baromètre fait référence à l’emplacement du baromètre de la station; il ne s’agit pas de redéfinir le descripteur 0 07 030.,PDF
85,La hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine) fait référence à l’emplacement du capteur; il ne s’agit pas de redéfinir le descripteur 0 07 030 ou 0 07 033. Il est possible d’annuler la valeur de 0 07 032 déjà définie en l’indiquant comme «valeur manquante».,PDF
86,La hauteur du capteur au-dessus de la surface de l’eau fait référence à l’emplacement du capteur en mer ou sur un lac; il ne s’agit pas de redéfinir le descripteur 0 07 030 ou 0 07 032. Il est possible d’annuler la valeur de 0 07 033 déjà définie en l’indiquant comme «valeur manquante».,PDF
88,"L’épaisseur de la glace (0 13 115) est précédée du descripteur 0 08 029 (type de surface) indiquant une des valeurs suivantes: 11, 12, 13 ou 14, qui correspond respectivement à: cours d’eau, lac, mer ou glacier.",PDF
89,"Si x = y = z, il s’agit d’une erreur sphérique et l’angle (voir 0 20 115) est égal à zéro.",PDF
90,"Si x = y, il s’agit d’une erreur radiale et l’angle (voir 0 20 114) est égal à zéro.",PDF
91,"Dans le descripteur 0 02 142: le numéro de série/identification de l’instrument de mesure de l’ozone est d’une longueur de quatre caractères. Pour les instruments Dobson japonais, tronquer le(s) premier(s) chiffre(s).",PDF
92,"Afin qu’il soit possible de distinguer sans ambiguïté les cas de valeurs manquantes et de pixels saturés, les données d’image de n bits doivent être codées à l’aide d’un champs de données de n+1. Lorsqu’un tel descripteur n’est pas déjà disponible dans la classe 30, on utilise un descripteur d’opération 2 01 YYY pour modifier le champ de données de l’entrée existante, selon les besoins.",PDF
93,Des axes xyz situés à gauche ont été choisis pour le descripteur 0 10 031.,PDF
94,Des axes x y z situés à gauche ont été choisis pour le descripteur 0 28 031.,PDF
95,"Des axes xyz situés à gauche ont été choisis pour les descripteurs 0 01 041, 0 01 042 et 0 01 043.",PDF
96,Des axes x y z situés à gauche ont été choisis pour le descripteur 0 27 031.,PDF
98,Les tables principales sont décrites dans la note 2 s’appliquant à la Section 1 du code BUFR (partie des Règles intitulée «Spécifications du contenu des octets»).,PDF
99,Le vent maximal et le rayon effectif du vent maximal sont indiqués par les descripteurs 0 19 003 et 0 19 004.,PDF
100,"La direction des vagues (valeur moyenne) est l’angle a 1 et la direction principale des vagues est l’angle a 2, dans l’expression S (f, a ) qui équivaut approximativement à: c 11 x (0,5 + r 1 x cos ( a – a 1) + r 2 x cos (2 ( a – a 2) ) ) / p formule dans laquelle S(f, a ) est le spectre directionnel d’ondes et c 11 est le spectre non directionnel, la partie droite de cette expression correspondant aux deux premiers termes du développement de S(f, a ) de la série Fourier. Si, pour une fréquence donnée, la direction moyenne et la direction principale sont très différentes (soit plus de 15°), les mers complexes sont alors indiquées.",PDF
102,"Niveau de signal minimal pour le traitement, par exemple 0,005 V ou 5 mV, ou valeur d’ordinaire située juste au-dessus du plancher de bruit du détecteur.",PDF
103,Valeur résiduelle modifiée obtenue à partir de l’emplacement des capteurs et des rapports signal-bruit pour l’éclair.,PDF
104,"Doit être précédé du descripteur 0 08 090, avec, le cas échéant, l’intervention d’opérateurs. La valeur est de 10 x multiplié par la valeur chiffrée, où x est égal à la valeur associée au descripteur 0 08 090 précédent. La valeur chiffrée est la valeur réelle multipliée par 10 –x .",PDF
105,Les périodes ou les décalages dans le temps négatifs sont utilisés pour indiquer les périodes ou les décalages dans le temps précédant le temps généralement défini.,PDF
107,"Information complémentaire 0 22 097 échelle des valeurs en entrée: 0 – 10000 0 22 098 échelle des valeurs en entrée: 0 – 10000 0 22 099 échelle des valeurs en entrée: 0 – 359 0 22 100 échelle des valeurs en entrée: 0 – 359 0 22 101 échelle des valeurs en entrée: 0 – 2 x 10 6 ; mais, étant donné les incertitudes, la valeur peut être supérieure.",PDF
110,Les incréments dans le sens nord–sud sont indiqués par des valeurs négatives.,PDF
111,Il est à noter que le descripteur 0 02 140 est l’angle d’azimut mesuré dans le sens inverse des aiguilles d’une montre à partir du vecteur de mouvement du satellite.,PDF
113,D’autres applications de l’indicateur de présence de données pourront être créées.,PDF
115,Le champ de données des pixels peut être modifié au moyen du descripteur 2 01 YYY.,PDF
117,"La hauteur représentative du capteur au-dessus du niveau de la station correspond à la hauteur standard à laquelle l’OMM recommande d’installer le capteur. Il convient donc d’ajuster par une formule appropriée la valeur de l’élément météorologique fournit à la suite de cette hauteur. Par exemple, la hauteur standard à laquelle l’OMM recommande d’installer les capteurs de vent en surface est de 10 mètres; si le capteur ne se trouve pas à cette hauteur, il est donc possible d’ajuster la vitesse du vent à l’aide d’une telle formule.",PDF
118,"Les descripteurs 0 20 019 (temps significatif présent ou prévu) et 0 20 020 (phénomènes météorologiques significatifs récents) sont utilisés conformément à la table 4678 (référence: Manuel des codes (OMM-N° 306), volume I.1).",PDF
119,"Les deux indices de soulèvement (D 13 042 et D 13 043) étant définis comme des différences de températures, leur valeur peut être négative bien que l’unité choisie dans les deux cas soit le kelvin, d’où la valeur de référence différente de zéro.",PDF
120,"L’enneigement est indiqué pour chaque pixel transmis par un satellite sous la forme d’un pourcentage de la couverture du pixel. Il semble impossible de pouvoir employer le descripteur existant 0 20 062 pour ce faire, car il faudrait alors fournir des détails supplémentaires (exemple: congères, neige mouillée ou sèche, etc.) que les instruments embarqués ne peuvent évidemment pas détecter avec précision.",PDF
121,"Pour certains éléments de cette classe, une indication de la précision escomptée peut être implicite.",PDF
122,On attribue aux latitudes sud des valeurs négatives.,PDF
123,Les composantes v dans le sens sud–nord sont indiquées par des valeurs positives.,PDF
124,Carré de l’angle de visée latérale calculé à partir des paramètres obtenus en bande Ku; unité : 10 –4 deg 2 ; valeur minimale usuelle : 0; valeur maximale usuelle: 900.,PDF
126,Les stations situées à moins de 1° du pôle Nord ou du pôle Sud chiffrent leurs observations de la direction du vent de surface avec le limbe d’azimut orienté de sorte que son zéro coïncide avec le méridien de Greenwich.,PDF
127,"Le «facteur de répétition différée du descripteur et des données» sert au codage de la longueur de plage (par exemple pour le balayage d’une image). Il donne une valeur N qui s’applique à la fois au descripteur et aux données, c’est-à-dire que la valeur de l’élément simple défini par le descripteur suivant est répétée N fois (à des intervalles déjà précisés).",PDF
128,"L’ondulation du géoïde correspond à la différence entre l’ellipsoïde de référence (WGS-84) et la hauteur au-dessus du géoïde (EGM-96) au lieu géographique de l’observation, les deux valeurs étant données par rapport au centre de gravité de la Terre.",PDF
129,"L’indice de stabilité de Showalter modifié est défini comme étant la différence entre la température ambiante à 500 hPa et la température qu’une particule d’air, se trouvant initialement à un niveau de base sélectionné, aurait si elle était portée de son niveau de condensation à celui de 500 hPa selon le processus adiabatique de l’air humide saturé. Les conditions sont stables lorsque cette différence est positive et instables lorsqu’elle est négative. Le niveau de base correspond à 850, 800 ou 750 hPa suivant que la station se situe respectivement à moins de 1 000, entre 1 000 et 1 400 ou entre 1 401 et 2 000 gpm au-dessus du niveau moyen de la mer.",PDF
130,"L’«indice de soulèvement d’une particule» (selon la définition de l’«indice de soulèvement» fournie dans le Vocabulaire météorologique international (OMM-N° 182)) est défini comme étant la différence entre la température ambiante à 500 hPa (T500) et celle d’une particule d’air en surface (Tparticule) soulevée suivant le processus adiabatique de l’air sec ou de l’air humide saturé. Il y a instabilité verticale lorsque le résultat de la différence T500 –Tparticule est négatif. L’«indice de soulèvement optimal» est défini comme étant celui qui représente la plus grande instabilité dans un ensemble d’indices de soulèvement d’une particule, l’état initial de la particule étant défini pour un ensemble de couches superposées de 30 hPa d’épaisseur, la plus basse reposant en surface. On utilise en général de quatre à six couches pour le calcul.",PDF
131,La signification de cette quantité peut être obtenue auprès du centre d’origine des données.,PDF
132,Une «autre latitude possible» peut être utilisée lorsque le calcul de la position aboutit à des solutions multiples et qu’à priori il n’y a pas de possibilité de les distinguer.,PDF
133,Une «autre longitude possible» peut être utilisée lorsque le calcul de la position aboutit à des solutions multiples et qu’à priori il n’y a pas de possibilité de les distinguer.,PDF
135,"Le champ de données pour le descripteur 0 20 038, défini 12 à l’origine, est faux. 9 bits sont suffisants comme pour toutes les autres quantités «degré vrai». Cependant, le champ de 12 bits est maintenu par souci d’uniformité des séries de données. Une direction de la lisière des glaces de valeur 0 signifie «Navire dans le chenal côtier ou le chenal de séparation».",PDF
137,"La vague dominante est celle qui, dans le spectre d’énergie, possède l’énergie maximale.",PDF
138,Le rayon réel de la caractéristique est défini en fonction du rayon de l’isobare de 1000 hPa au niveau moyen de la mer.,PDF
139,Les tsunamimètres du type de ceux utilisés dans les systèmes d’observation des grands fonds océaniques pour l’émission d’alertes aux tsunamis (DART II) PMEL sont mis en place à une profondeur maximale d’environ 6 000 m.,PDF
142,"Le rapport entre la réfractivité N et l’indice de réfraction n est donné par la formule N = 10 6 ( n – 1). N est donc adimensionnel, mais les valeurs obtenues à partir de cette formule sont données par convention en unités N.",PDF
143,Le compteur de position des satellites est calculé comme suit: compteur = numéro du couloir large balayé x 1000 + numéro de case x 10 + numéro de minicase,PDF
144,La dimension de sous-position des satellites est calculée comme suit: dimension = dimension de minicase + dimension de case où: dimension de minicase = lignes x 1000 + points x 100 dimension de case = lignes x 10 + points,PDF
145,"Pour indiquer à quoi se rapportent les périodes ou les décalages dans le temps, on peut se servir du code donné pour la caractéristique temporelle dans la table 0 08 021.",PDF
146,La hauteur significative des vagues est définie comme étant quatre fois la racine carrée du spectre d’énergie intégré sur la direction et la fréquence. Elle correspond à la hauteur dépassée par environ un tiers de l’ensemble des vagues.,PDF
147,"Le facteur de stabilité du vent est le rapport de la vitesse du vecteur vent moyen mensuel à la vitesse du vent scalaire moyen mensuel, exprimé en pourcentage. La valeur est arrondie au point de pourcentage le plus proche.",PDF
148,"L’indicateur de la tempête (descripteur 0 01 025) a la signification suivante: les deux premiers caractères sont un numéro de séquence numérique attribué par celui qui envoie le message ; le troisième caractère est une lettre indiquant le bassin océanique dans lequel la tempête est située; ces lettres sont les suivantes: W Nord-ouest de l’océan Pacifique E Nord-est de l’océan Pacifique, jusqu’au méridien 140°O C Nord-est de l’océan Pacifique, entre les méridiens 140°O et 180°O L Nord de l’océan Atlantique, y compris la mer des Caraïbes et le golfe du Mexique A Nord de la mer d’Oman B Golfe du Bengale S Sud de l’océan Indien P Sud de l’océan Pacifique F CMRS de Nandi dans le Pacifique Sud U Australie O Mer de Chine méridionale T Mer de Chine orientale Il n’est pas nécessaire que différents observateurs se concertent sur les numéros de séquence, même s’ils préparent un message concernant la même tempête.",PDF
149,"Lorsque la situation dans le temps correspond à des valeurs de prévision, elle indique le temps de l'état initial ou le début de la période de prévision; si elle correspond à des moyennes d'ensemble de valeurs de prévisions, elle indique l'état initial ou le début de la première prévision d'où les moyennes d'ensemble sont dérivées.",PDF
150,La valeur du descripteur 0 10 031 a été sélectionnée de façon à convenir pour des satellites à orbite polaire plus ou moins synchrone avec le Soleil. Les orbites géostationnaires nécessiteraient des champs de données plus grands en ce qui concerne la distance et légèrement moins grands en ce qui concerne la vitesse.,PDF
151,La valeur du descripteur 0 27 031 a été sélectionnée de façon à convenir pour des satellites à orbite polaire plus ou moins synchrone avec le Soleil. Des orbites géostationnaires nécessiteraient des champs de données plus grands en ce qui concerne la distance et légèrement moins grands en ce qui concerne la vitesse.,PDF
152,La valeur du descripteur 0 28 031 a été sélectionnée de façon à convenir pour des satellites à orbite polaire plus ou moins synchrone avec le Soleil. Des orbites géostationnaires nécessiteraient des champs de données plus grands en ce qui concerne la distance et légèrement moins grands en ce qui concerne la vitesse.,PDF
153,Cet élément pourrait avoir pour valeur une chaîne de caractères qui contient le nom du modèle et d’autres indications utiles tel le maillage du modèle.,PDF
154,"Les valeurs des descripteurs 0 01 041, 0 01 042 et 0 01 043 ont été sélectionnées de façon à convenir pour des satellites à orbite polaire plus ou moins synchrone avec le Soleil. Des orbites géostationnaires nécessiteraient des champs de données plus grands en ce qui concerne la distance et légèrement moins grands en ce qui concerne la vitesse.",PDF
155,Cette classe peut aussi contenir des éléments concernant les méthodes d’observation.,PDF
156,La présente classe doit contenir des éléments décrivant les instruments utilisés pour obtenir les éléments météorologiques représentés.,PDF
158,"Pour les périodes ou les décalages dans le temps et pour les incréments temporels, il faut préalablement une définition de l'origine de la position dans le temps, suivie, le cas échéant, d'une définition de l'élément qualificatif temporel.",PDF
159,Le descripteur 0 20 054 (direction vraie d’un phénomène ou des nuages) est utilisé pour indiquer la direction vraie d’où viennent ou dans laquelle sont observés un phénomène ou des nuages. Une valeur 0 pour ce descripteur signifie «stationnaire ou pas de nuages» ou «observé à la station» alors qu’une valeur 500 signifie «observé dans toutes les directions» et une valeur 501 «inconnue ou nuages invisibles».,PDF
160,Le rayonnement ascendant est indiqué par des valeurs négatives.,PDF
161,"Les composantes w ascendantes sont indiquées par des valeurs positives, pour lesquelles l’unité est le m s –1 .",PDF
162,Intervalles utiles utilisés ci-dessus: 10 11 Bq à 10 19 Bq pour les rejets; 10 –2 Bq à 10 7 Bq et 10 –2 mSv à 10 7 mSv pour la concentration et les doses.,PDF
163,Les valeurs de la latitude et de l’incrément de latitude se situent dans les limites de la plage allant de –90 degrés à +90 degrés.,PDF
164,Les valeurs de longitude se situent dans les limites de la plage allant de –180 degrés à +180 degrés.,PDF
165,Des données correspondant à des éléments verticaux et à la pression sont utilisées pour définir des valeurs de ces éléments indépendantes de l’élément ou de la variable déterminant la coordonnée verticale.,PDF
166,On attribue aux longitudes ouest des valeurs négatives.,PDF
167,Les composantes u dans le sens ouest–est sont indiquées par des valeurs positives.,PDF
168,L’emploi du descripteur 0 33 045 ou 0 33 046 nécessite l’opérateur 2 41 000 pour définir le phénomène suivant auquel s’applique la probabilité indiquée.,PDF
169,"Lorsque le descripteur 0 08 043 est utilisé pour désigner une matière particulaire d’une taille inférieure à un seuil de taille donné, le descripteur 0 08 045 peut aussi être utilisé pour désigner plus précisément un sous-ensemble de la population de particules à partir de la composition des ions.",PDF
171,"Pour le codage du temps passé transmis par une station météorologique automatique, il convient d’utiliser de préférence la suite appropriée des descripteurs 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025, 0 20 026 et 0 20 027. Le descripteur 0 20 004 ou 0 20 005 n’est utilisé que lorsque les descripteurs indiqués ci-dessus ne s’appliquent pas à l’observation.",PDF
172,"Pour le codage du temps présent transmis par une station météorologique automatique, il convient d’utiliser de préférence la suite appropriée des descripteurs 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025, 0 20 026 et 0 20 027. Le descripteur 0 20 003 n’est utilisé que lorsque les descripteurs indiqués ci-dessus ne s’appliquent pas à l’observation.",PDF
173,"Quand il est employé, le descripteur 0 33 046 doit être précédé de l’opérateur 2 42 000 qui permet de définir le phénomène associé qui conditionne celui auquel s’applique la probabilité indiquée.",PDF
174,"Lorsque l’on définit un phénomène auquel s’applique le descripteur 0 33 045 ou 0 33 046, il est possible d’employer le descripteur 0 33 042 pour indiquer que la valeur qui suit constitue une limite pour une fourchette de valeurs.",PDF
175,Le descripteur 0 01 033 est utilisé à la place du descripteur 0 01 031 pour chiffrer le centre d’origine/de production. La table de code 0 01 034 sera définie par le centre associé d’origine/de production identifié par le descripteur 0 01 033 et communiquée au Secrétariat en vue de sa publication.,PDF
176,"Lorsqu'il faut plus d'une période ou d'un décalage dans le temps pour définir des indications temporelles complexes, les définitions se succèdent immédiatement, dans l'ordre suivant: période d'ensemble (le cas échéant); période de prévision (le cas échéant); période correspondant à une moyenne ou une accumulation (le cas échéant).",PDF
