noteID,note_ru,translation_source
59,"Дескриптор 0 31 031, используемый совместно с операторами контроля качества или статистическими операторами 2 22 YYY — 2 32 YYY, должен указывать на наличие информации о контроле качества, когда показатель установлен на нуль. Он может быть использован совместно с оператором повторения 1 01 YYY для создания таблицы индикаторов наличия/отсутствия данных, формируя битовое отображение данных, определенное в Правиле 94.5.5.3. Это позволяет представлять информацию о контроле качества и статистическую информацию по выбранным данным, соответствующим дескрипторам элементов, которые предшествуют операторам 2 22 YYY — 2 32 YYY.",PDF
60,"Дескрипторы 0 01 012 и 0 01 013 могут относиться к параметрам различного значения, а соответствующие величины могут быть интегрированы по различным периодам.",PDF
61,"Данные о различиях представляют собой величины разности; их размеры аналогичны соответствующим сообщенным величинам в отношении единиц измерения, однако их пределы сконцентрированы на нуле (например, разность между сообщенными и аналитическими величинами, разность между сообщенными и прогнозируемыми величинами и т. д.)",PDF
62,"Расстояние следует использовать только для установленного местоположения, а также пеленга, азимута или превышения; оно не должно переопределять это местоположение.",PDF
63,"Приходящей радиации следует присваивать положительные значения.",PDF
64,"Для компонент w, направленных вниз, следует выделять положительные значения с единицами измерения в Па·с-1.",PDF
66,"Увеличение широты с востока на запад следует выражать отрицательным значением.",PDF
68,"Превышение следует использовать только для установленного местоположения и пеленга, азимута или расстояния; оно не должно переопределять это местоположение.",PDF
69,"Излучательная способность — это соотношение между количеством энергии, излучаемой конкретным объектом и количеством энергии, которая излучалась бы черным телом при той же температуре (т. е. функция Планка). Умножение на 100 дает процентную долю (и одновременно обеспечивает две цифры точности).",PDF
70,"Данные первого порядка указывают величины с аналогичными пределами и теми же размерами, что и соответствующие сообщенные данные (например, максимальные, минимальные, средние и т. д.)",PDF
71,"Идентичность процессора или системы обнаружения местоположения вспышки для определения места развития события в многоинтегрированной системе. Обычно значение составляет 1.",PDF
72,"Для дескриптора 0 01 022 строка символов, представляющая «Название синоптической характеристики», должна быть в форме: «Тип явления» — «Местоположение или географическое название» (например: «вулкан — Попокатепетль», «пожар на нефтяной скважине — Кувейт»).",PDF
73,"Для неизменной синоптической характеристики как направление перемещения синоптической характеристики (0 19 005), так и скорость перемещения синоптической характеристики (0 19 006) должны быть обозначены как 0.",PDF
74,"Для зонда атмосферы в зоне горизонта «параметром воздействия» является расстояние между асимптотой луча и центром кривизны поверхности Земли в точке касания.",PDF
75,"Для дескрипторов кода CREX F = B, а не 0.",PDF
76,"Номер версии местной таблицы см. в последней части примечания 2 к разделу 1 правил BUFR.",PDF
77,"Для этого дескриптора, отрицательные значения указывают на помехи, некачественную калибровку или присутствие поглощающих аэрозолей. Сохранение этих значений позволяет получить более качественные последующие оценки погрешности калибровки.",PDF
78,"Для этого дескриптора, числа более +6 указывают на загрязнение двуокисью серы, интенсивность которого увеличивается по мере увеличения положительного числа. Число вычисляется по значению измерения в единицах Добсона при отсутствии конкретной температуры и расчетного профиля концентрации, которые могут не быть близки к фактическому состоянию атмосферы. Вследствие этих неточностей сообщается как числовой указатель.",PDF
79,"Для этого дескриптора, числа менее –1 указывают на преобладание рассеивающих аэрозолей, концентрация которых увеличивается по мере увеличения отрицательного числа. Числа более +1 указывают на преобладание поглощающих аэрозолей, концентрация которых увеличивается по мере увеличения положительного числа. Числа между –1 и +1 указывают на облака или шум.",PDF
80,"Для этого дескриптора, единицы представляют климатологическое стандартное отклонение значения тропосферного озона для заданной широты. Например, значение величиной 5,0 указывает профиль со значением тропосферного озона на 5,0 стандартных отклонений больше, чем среднее климатологическое.",PDF
81,"Дескриптор 0 24 014 — Уровень дозы гамма излучения — предназначен для использования при сообщении этого элемента в нормальных условиях, ядерные аварии исключаются.",PDF
83,"Суммарная УФ-радиация (0 14 072) — УФ-энергия, интегрированная за указанный период для указанной спектральной полосы. Дескриптору 0 14 072 должен предшествовать дескриптор временного периода, а также рабочая длина волны спектрографа (0 02 071) и ширина диапазона спектрографа (0 02 072). Например, если дескриптор 0 14 072 используется для суммарной УФ-В радиации, то дескрипторы 0 02 071 и 0 02 072 должны указывать спектральную полосу 280–315 нм.",PDF
84,"Высота барометра над средним уровнем моря, относящаяся к местоположению барометра станции, не определяет по-новому дескриптор 0 07 030.",PDF
85,"Высота датчика над местной площадкой (или палубой морской платформы) — это фактическая высота над площадкой (или палубой морской платформы) в той точке, где находится датчик. Этот дескриптор не определяет по-новому дескриптор 0 07 030 или 0 07 033. Ранее определенное значение 0 07 032 может быть отменено за счет установки 0 07 032 на «отсутствующее значение».",PDF
86,"Высота датчика над поверхностью воды — это высота датчика над водной поверхностью моря или озера. Этот дескриптор не определяет по-новому дескриптор 0 07 030 или 0 07 032. Ранее определенное значение 0 07 033 может быть отменено за счет установки 0 07 033 на «отсутствующее значение».",PDF
87,"Высота площадки станции над средним уровнем моря определяется как высота над средним уровнем моря участка земли, на котором стоит осадкомер, или, в случае отсутствия осадкомера, площадки под метеорологической будкой. Если нет ни осадкомера, ни будки, то это средний уровень поверхности вблизи от станции (ссылка: Руководство по метеорологическим приборам и методам наблюдений (ВМО-№ 8), 1996 г.).",PDF
88,"Толщине льда (0 13 115) должен предшествовать тип поверхности (0 08 029), установленный на 11, 12, 13 или 14 для обозначения соответственно реки, озера, моря или ледника.",PDF
89,"Если x = y = z, тогда это будет сферической ошибкой, и угол (см. 0 20 115) будет равен нулю.",PDF
90,"Если x = y, тогда это будет радиальной ошибкой, и угол (см. 0 20 114) будет равен нулю.",PDF
91,"В дескрипторе 0 02 142 серийный номер/идентификация прибора для измерения озона имеет длину в 4 символа. Для японских приборов Добсона необходимо опускать первую(ые) цифру(ы).",PDF
92,"Для однозначного различения случаев отсутствия данных и насыщенных пикселей, n-битовые данные об изображении следует кодировать, используя длину данных n+1. Когда такого дескриптора еще нет в классе 30, дескриптор оператора 2 01 YYY следует использовать для изменения длины данных существующей позиции, по мере необходимости.",PDF
93,"Расположенные слева оси x, y и z выбраны для дескриптора 0 10 031.",PDF
94,"Расположенные слева оси x, y и z выбраны для дескриптора 0 28 031.",PDF
95,"Расположенные слева оси x, y и z выбраны для дескрипторов 0 01 041, 0 01 042 и 0 01 043.",PDF
96,"Расположенные слева оси x, y и z выбраны для дескриптора 0 27 031.",PDF
98,"Эталонные таблицы описаны в примечании 2 к разделу 1 правил BUFR (см. «Спецификации содержания октетов»).",PDF
99,"Максимальный ветер и эффективный радиус максимального ветра должны быть указаны посредством элементов 0 19 003 и 0 19 004.",PDF
100,"Среднее направление волны — это угол альфа 1, а главное направление волны — это угол альфа 2, приблизительно равное в выражении S(f, alpha): c11 x (0,5 + r1 x cos (alpha – alpha 1) + r2 x cos (2 (alpha – alpha 2))) / pi, где S(f, alpha) — это направленный спектр волны, а c11 — ненаправленный спектр волны, и правая часть этого выражения представляет собой первые два элемента разложения рядов Фурье S(f, alpha). В случае значительного расхождения среднего и главного направлений (например, более 15°) для данной частоты указываются пересекающиеся волны.",PDF
102,"Минимальный уровень сигнала, приемлемый для обработки, например 0,005 В или 5 мВ, или обычно немного выше уровня помехи детектора.",PDF
103,"Модифицированный остаток, рассчитанный из местоположений датчиков и отношений сигнала-шума для вспышки.",PDF
104,"Следует включать после дескриптора 0 08 090, возможно с задействованными операторами. Значение представляет собой кодируемую величину, умноженную на 10x, где x — значение, связанное с предыдущим дескриптором 0 08 090. Кодируемая величина является фактической величиной, умноженной на 10-x.",PDF
105,"Негативные временные периоды или отклонения следует использовать для указания временных периодов или отклонений, предшествующих определенному текущему времени.",PDF
107,"Дополнительная информация: 0 22 097 номинальная вводимая дальность 0–10000; 0 22 098 номинальная вводимая дальность 0–10000; 0 22 099 номинальная вводимая дальность 0–359; 0 22 100 номинальная вводимая дальность 0–359; 0 22 101 номинальная вводимая дальность 0–2 x 106, но может быть больше из-за неопределенности.",PDF
110,"Увеличение широты с севера на юг следует выражать отрицательными значениями.",PDF
111,"Необходимо отметить, что дескриптор 0 02 140 является полярным углом, измеряемым в направлении против часовой стрелки от вектора движения спутника.",PDF
113,"Могут быть развиты другие применения индикатора наличия данных.",PDF
114,"КЛР означает кусочно-линейную регрессию в кубе и является в нулевом приближении методом оптимальной оценки.",PDF
115,"Длина данных пикселя может быть изменена с помощью дескриптора 2 01 YYY.",PDF
116,"Что касается данных с наземных станций, то этот дескриптор следует использовать только для архивированных данных. Следует отдавать предпочтение и использовать дескрипторы 0 07 030 и 0 07 031 для представления превышения площадки и превышения барометра соответственно, как это определено в Метеорологических сообщениях (ВМО-№ 9), том А — Станции наблюдений. Что касается морских станций, то этот дескриптор определяет высоту палубы морской платформы, на которой установлен прибор, над средним уровнем моря.",PDF
117,"Типичная высота датчика относительно станции — это стандартная высота датчика, определенная в документации ВМО. Значение следующего метеорологического элемента должно быть изменено с использованием формулы. Например, стандартная высота, рекомендованная ВМО для датчиков приземного ветра, равна 10 метрам. Если датчик находится на другой высоте, скорость ветра может быть скорректирована по формуле.",PDF
118,"Особые явления текущей или прогнозируемой погоды (0 20 019) и особые явления недавней погоды (0 20 020) должны использоваться в соответствии с кодовой таблицей 4678 (ссылка: Наставление по кодам (ВМО-№ 306), том I.1).",PDF
119,"Хотя два подъемных индекса (0 13 042 и 0 13 043) определяются как разности температур, однако они могут иметь отрицательные значения, даже если единицами измерения является кельвин; поэтому начало отсчета ненулевое.",PDF
120,"О снежном покрове будут сообщать для каждого элемента спутникового изображения в виде процентной доли охвата элементом изображения. Неосуществимой представляется попытка использования существующего дескриптора 0 20 062 для этой цели, поскольку использование этого дескриптора предполагает дополнительные подробности относительно, например, снежных заносов, мокрого-сухого снега и т. д., которые спутник явно не в состоянии точно обнаружить.",PDF
121,"Некоторые указания ожидаемой точности могут в неявной форме содержаться в ряде элементов данного класса.",PDF
122,"Южную широту следует выражать отрицательными значениями.",PDF
123,"Для компонент v, направленных с юга на север, следует выделять положительные значения.",PDF
124,"Квадрат угла вне надира, вычисленный по производным параметрам меандра Ku, единица 10-4 град.2, общее минимальное значение 0, общее максимальное значение 900.",PDF
125,"Неподвижное положение судна сообщается с помощью дескриптора 0 01 012, установленного на 0, и дескриптора 0 01 013, установленного на 0. Неизвестный курс судна (Ds = 9) сообщается посредством дескриптора 0 01 012, установленного на 509.",PDF
126,"Направление приземного ветра, измеренное на станции в пределах 1° от Северного полюса или в пределах 1° от Южного полюса, следует сообщать таким образом, чтобы азимутальный круг был выровнен с нулем прибора, соответствуя 0° по Гринвичскому меридиану.",PDF
128,"«Неровностью геоида» является разность между эталонным эллипсоидом (WGS-84) и высотой геоида (EGM96) в географической точке наблюдений, причем обе величины приведены к центру массы Земли.",PDF
129,"«Измененный индекс стабильности Шоуолтера» определяется как разность температур между температурой окружающего воздуха на уровне 500 гПа и той температурой, которую частица воздуха, изначально на избранном базовом уровне, будет иметь, если бы она была перенесена со своего уровня конденсации до поверхности 500 гПа в результате влажного адиабатического процесса. Позитивные значения означают стабильные условия, в то время как негативные значения означают нестабильные условия. Базовым уровнем является 850 гПа, 800 гПа или 750 гПа, если высота станции составляет менее, чем 1000, 1000–1400 или 1401–2000 геопотенциальных метров над средним уровнем моря, соответственно.",PDF
131,"Действительное значение данного числа может быть получено от поставщика данных.",PDF
135,"Длина данных для дескриптора 0 20 038, первоначально определенная в 12 битов, — неверна. Для всех остальных параметров в «истинных градусах» достаточно 9 битов. Однако для сохранения исторической последовательности сохраняется длина в 12 битов. Кроме того, значение 0 для пеленга кромки льда должно указывать: «Судно у берега или в заприпайной прогалине».",PDF
136,"Дескрипторы 0 22 001, 0 22 002, 0 22 003: указанное в этих позициях направление является направлением приходящих волн.",PDF
137,"Доминирующая волна — это волна, обладающая максимальной энергией в энергетическом спектре.",PDF
138,"Эффективный радиус синоптической характеристики следует определять относительно радиуса изобары 1000 гПа на среднем уровне моря.",PDF
139,"Максимальная глубина постановки таких глубоководных измерителей волн цунами, как Система глубоководной оценки и оповещения о цунами (ДАРТ II) ПМЕЛ, составляет около 6 000 м.",PDF
140,"Размер элемента изображения на горизонтали — 1 приводится в положении, где масштабный коэффициент карты равен единице.",PDF
141,"Размер элемента изображения на горизонтали — 2 указывается в положении, где масштабный коэффициент карты равен единице.",PDF
142,"Преломляющая способность N соотносится с показателем преломления n согласно формуле N = 106 (n – 1). В связи с этим N является безразмерной величиной, но величины, рассчитанные с помощью этой формулы, по договоренности, описываются в «единицах N».",PDF
145,"Значение временных периодов или отклонений может быть указано с использованием значений времени в коде, соответствующем табличной ссылке 0 08 021.",PDF
146,"Высота значительной волны определяется как четырехкратная величина квадратного корня энергетического спектра, интегрированного через направление и частоту. Она соответствует высоте более одной трети всех волн.",PDF
147,"Коэффициент постоянства (дескриптор 0 11 019) — это отношение скорости среднемесячного вектора ветра к скорости среднемесячного скалярного ветра, выраженное в процентах. Оно сообщается в виде ближайшего целого процента.",PDF
148,"Указатель шторма (дескриптор 0 01 025) имеет следующее значение: первыми двумя символами должен быть задан цифровой последовательный номер, присвоенный автором сообщения; третий символ — буква, указывает на океанический бассейн, в котором находится шторм, в соответствии со следующей таблицей: W Северо-западная часть Тихого океана; E Северо-восточная часть Тихого океана до 140° в. д.; C Северо-восточная часть Тихого океана в пределах 140°–180° в. д.; L Северная часть Атлантического океана, включая Карибское море и Мексиканский залив; A Северная часть Аравийского моря; B Бенгальский залив; S Южная часть Индийского океана; P Южная часть Тихого океана; F РСМЦ района Нади в Тихом океане; U Австралия; O Южно-Китайское море; T Восточно-Китайское море. Не требуется, чтобы различные наблюдатели координировали последовательные номера, даже если оба наблюдателя упоминают в сообщениях об одном и том же шторме.",PDF
149,"При использовании с прогнозируемыми величинами временное местоположение должно указывать время исходного состояния или начала для прогностического периода; при использовании с множеством средних прогностических значений временное местоположение должно указывать исходное состояние или начало первого прогноза, по которому получены множественные средние.",PDF
150,"Величина дескриптора 0 10 031 выбрана таким образом, чтобы соответствовать спутникам на полярной, приблизительно солнечно-синхронной орбите. Геостационарные орбиты потребуют более значительной длины данных в отношении расстояния и несколько меньшей — в отношении скорости.",PDF
151,"Величина дескриптора 0 27 031 выбрана таким образом, чтобы соответствовать спутникам на полярной, приблизительно солнечно-синхронной орбите. Геостационарные орбиты потребуют более значительной длины данных в отношении расстояния и несколько меньшей — в отношении скорости.",PDF
152,"Величина дескриптора 0 28 031 выбрана таким образом, чтобы соответствовать спутникам на полярной, приблизительно солнечно-синхронной орбите. Геостационарные орбиты потребуют более значительной длины данных в отношении расстояния и несколько меньшей — в отношении скорости.",PDF
153,"Значением этой характеристики могла бы быть последовательность символов, которая содержит название модели и другие полезные элементы, такие как ячейка модели.",PDF
154,"Величины дескрипторов 0 01 041, 0 01 042 и 0 01 043 были выбраны таким образом, чтобы соответствовать спутникам на полярной, приблизительно солнечно-синхронной орбите. Геостационарные орбиты потребуют более значительной длины данных в отношении расстояния и несколько меньшей — в отношении скорости.",PDF
155,"В данный класс могут также войти элементы, относящиеся к процедурам наблюдений.",PDF
156,"Данный класс должен содержать элементы описания приборов, используемых для получения сообщаемых метеорологических элементов.",PDF
157,"Эта константа определяется следующим образом: Z = P + радарная константа, где Z = отражательная способность цели в направлении луча (dBZ), а P = входная мощность приемника выше 1 мВт (дБм). Эта константа используется для нормализации сигнала до эквивалентной дальности 100 км.",PDF
158,"Прежде чем использовать временные периоды или отклонения и временные инкременты, необходимо определить исходное временное местоположение, за которым, по мере необходимости, следует определение значимости времени.",PDF
159,"Истинное направление, откуда перемещаются явление или облака (0 20 054) используется для указания истинного направления, откуда перемещаются явление или облака, либо в котором они наблюдаются. В дескрипторе 0 20 054 значение 0 указывает «малоподвижное или отсутствие облаков» либо «наблюдалось на станции», тогда как значение 500 указывает «наблюдалось во всех направлениях», а значение 501 указывает «неизвестное или облаков не видно».",PDF
160,"Уходящей радиации следует присваивать отрицательные значения.",PDF
161,"Для компонент w, направленных вверх, следует выделять положительные значения с единицами измерения в м·с-1.",PDF
162,"Пригодные диапазоны, использованные выше: 1011–1019 Бк для выбросов; 10-2–107 Бк и 10-2–107 мЗв для концентраций и доз.",PDF
163,"Величины широты и приращений широты ограничены диапазоном от –90 до +90 градусов.",PDF
164,"Величины долготы ограничены диапазоном от –180 до +180 градусов.",PDF
165,"Вертикальные элементы и давление следует использовать для определения значений этих элементов независимо от элемента или переменной, означающей вертикальную координату.",PDF
166,"Западная долгота выражается отрицательными величинами.",PDF
167,"Для компонент u, направленных с запада на восток, следует выделять положительные значения.",PDF
170,"При кодировании высоты нижней границы облаков в диапазоне между 20 050 и 21 000 м дескриптор 0 20 013 устанавливается на значение 20 050; при кодировании высоты нижней границы облаков выше 21 000 м дескриптор 0 20 013 устанавливается на значение 20 060.",PDF
171,"При кодировании данных о прошедшей погоде, сообщаемых с автоматической метеорологической станции, следует отдавать предпочтение и использовать соответствующие комбинации дескрипторов 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025, 0 20 026 и 0 20 027. Дескрипторы 0 20 004 или 0 20 005 следует использовать только в том случае, если вышеупомянутые дескрипторы неприменимы.",PDF
172,"При кодировании данных о текущей погоде, сообщаемых с автоматической метеорологической станции, следует отдавать предпочтение и использовать соответствующие комбинации дескрипторов 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025, 0 20 026 и 0 20 027. Дескриптор 0 20 003 следует использовать только в том случае, когда вышеупомянутые дескрипторы неприменимы.",PDF
175,"Если для определения сложных временных структур требуется более одного временного периода или отклонения, то их необходимо определять следующими друг за другом, при этом необходимо соблюдать следующий порядок: общий период (если требуется), за которым следует прогностической период (если требуется), за которым следует период для усреднения или накапливания (если требуется).",PDF
176,"Там, где в колонку «НАЗВАНИЕ ЭЛЕМЕНТА» вводится выражение «на указанной высоте и за указанный период», соответствующее вертикальное местоположение должно быть определено с использованием дескрипторов из класса 07 совместно с соответствующим периодом с использованием дескрипторов из класса 04.",PDF
177,"Там, где в колонку НАЗВАНИЕ ЭЛЕМЕНТА вводится выражение «за указанный период», соответствующий период должен быть указан с помощью дескрипторов из класса 04.",PDF
178,"Там, где величины суммируются или усредняются (например, за временной период), общее число значений, из которых получается сумма или среднее значение, может быть представлено с использованием ссылки 0 08 022.",PDF
179,"Стандарты ветровых данных: Скорость Направление; Наблюдение отсутствует Отсутствует Отсутствует; Штиль 0 0; Обычное наблюдение >0 1°–360°; Только скорость >0 Отсутствует; Только направление Отсутствует 1°–360°; «Слабый и переменный» >0 0",PDF
180,"Стандарты сообщения о ветровых волнах и волнении: Наблюдения Скорость Направление; Нет наблюдений Отсутствует Отсутствует; Штиль 0 0; Обычное наблюдение >0 1–360; Только скорость >0 Отсутствует; Только направление Отсутствует 1–360; «Легкий и переменный» >0 0",PDF
182,"Название шторма, используемое ВМО (дескриптор 0 01 027): в тех случаях, где определяемое тропическое возмущение не достигло силы тропического шторма и ему не было присвоено официальное название, в названии шторма необходимо использовать слово «NAMELESS».",PDF
183,"Смещение по оси X — это расстояния между точкой отсчета проекции и верхним левым углом верхнего левого пикселя на карте.",PDF
184,"Смещение по оси Y — это расстояния между точкой отсчета проекции и верхним левым углом верхнего левого пикселя на карте.",PDF
