noteID,note_ru,translated_by
90,"Тип прибора и единицы начальных измерений для измерения ветра (в м с-1 за исключением отдельных указаний).",Original
91,"Значение исключено. Вместо него следует использовать кодовую цифру 6.",Original
92,"Когда используется кодовая цифра 4 для указания специфической координатной системы отсчета, эллипсоидный датум должен представлять собой сплющенный эллипсоид вращения, где большая ось лежит в одной плоскости с экваториальной плоскостью, а малая ось проходит через нулевой меридиан в направлении главного полюса. Север соответствует направлению от экватора к главному полюсу. Восток соответствует направлению против часовой стрелки от нулевого меридиана, если смотреть сверху с Северного полюса. В этом случае должны быть точно определены большая и малая полуоси (например, дескрипторами 0 01 152 и 0 01 153).",Original
93,"В тех случаях, когда представлены сообщенные значения минус прогнозированные значения, период прогнозирования должен быть указан соответствующим дескриптором из класса 04.",Original
94,"Там, где первоначальный метод передачи указывается кодовой цифрой 1, в целях получения достоверных значений данных, соответствующих дескриптору 0 01 012, рекомендуется следующее преобразование: Передаваемое значение Значение данных 0 0 1 45 2 90 3 135 4 180 5 225 6 270 7 315 8 360 9 511",Original
95,"Там, где первоначальный метод передачи указывается кодовой цифрой 1, в целях получения точных значений данных, соответствующих дескриптору 0 01 013, рекомендуется следующее преобразование: Передаваемое значение Значение данных 0 0 1 1 2 4 3 7 4 9 5 12 6 14 7 17 8 19 9 21 / 1023",Original
96,"В связи с наблюдением водяных смерчей или воронкообразных облаков — на удалении более 3 км от станции.",Original
22,"Битовые флаги показывают элементы, включенные при обработке данных зондирования.",Original
44,"Руководство по приборам и методам наблюдений",Original
48,"Когда 0 08 082 = 1, стандартный уровень указывается дескриптором из класса 07, который непосредственно следует за ним. Имеется возможность указать фактическую высоту датчика, разместив перед ним соответствующий дескриптор из класса 07.",Original
58,"ЦУУМ — Центр управления и контроля миссии.",Original
61,"Солнце (если солнце низко над горизонтом), или луна или звезды в ночное время.",Original
64,"ЧПИ — частота повторения импульсов.",Original
65,"Тип проекции 4 указывает на Декартову сетку, наложенную непосредственно на конус сканирования, определенный азимутальным обзором радиолокатора.",Original
