noteID,note_fr,translation_source
D23,"Toutefois, dans le cas des messages de navires basés sur le modèle 3 08 014 et pour les besoins des sociétés de transport maritime lorsque des navires d’observation bénévoles sont recrutés, ou bien si c’est demandé ultérieurement, l’indicatif d’appel du navire ou un autre indicatif peut être chiffré en BUFR au moyen de la séquence 3 01 018 selon la méthode suivante: – L’indicatif d’appel habituel (c’est-à-dire le descripteur 0 01 011) est chiffré avec une valeur manquante; – La méthode de chiffrement est indiquée par le descripteur 0 25 185.",PDF
D24,"Soit le champ 0 01 011 est utilisé et celui-ci est manquant, soit c'est l'inverse.",PDF
D25,"Si la hauteur du capteur a été modifiée au cours du mois, la valeur indiquée correspond à la hauteur en vigueur la plus grande partie du mois.",PDF
D26,"Si la radiosonde est équipée d’un capteur d’humidité relative, il faut obligatoirement relever 0 13 009 dans la séquence et la température du point de rosée peut être incluse en tant que valeur dérivée. Si la radiosonde est équipée d’un capteur du point de rosée, 0 12 103 doit être relevé dans la séquence et 0 13 009 doit être établi en tant que valeur manquante.",PDF
D27,"Si des précipitations sont mesurées, la période d’un mois débute à 06 UTC le premier jour du mois et se termine à 06 UTC le premier jour du mois suivant.",PDF
D28,"Dans l’entrée 3 10 067, les valeurs de la pression qui suivent immédiatement des occurrences de composantes du vent devraient être considérées comme se rapportant à ces composantes.",PDF
D29,"L’éclaircissage fait ici référence à une méthode pouvant être employée pour sélectionner un sous-ensemble de niveaux à partir d’un modèle qui peut comporter un grand nombre de niveaux verticaux en aval. En ne sélectionnant qu’un sous-ensemble, on réduit l’extension du pseudo-sondage, au risque toutefois d’entraîner une perte d’information et un supplément de traitement.",PDF
D30,"Dans cette séquence pour la représentation des données de radiosondage à la descente, l’indication de niveaux standard par le biais de la caractéristique étendue correspondant à des données de sondage vertical (0 08 042) n’est pas obligatoire.",PDF
D32,"On pourrait penser qu’étant donné que l’on ne peut procéder qu’à des adjonctions il ne faut utiliser que des lignes complètes; toutefois on peut concevoir que, pour certaines zones précises, il faudra des modifi- cations aussi bien que des adjonctions; il vaut donc mieux donner des descriptions pour tous les champs, notamment dans un souci de clarté.",PDF
D34,Le décalage en latitude 0 05 015 est établi par rapport à la latitude du site du lâcher. Le décalage en longitude 0 06 015 est établi par rapport à la longitude du site du lâcher.,PDF
D35,Le décalage dans le temps de longue durée 0 04 086 est établi par rapport à l’heure du lâcher 3 01 013 (en secondes).,PDF
D40,"Les niveaux différents de la surface, établis suivants la coordonnée verticale employée par le modèle sont transposés en coordonnée pression. Cela rend les niveaux plus faciles à interpréter par un œil humain et à utiliser à l’aide d’une application de visualisation. Ces niveaux peuvent correspondre exactement aux niveaux établis par le modèle ou être obtenus par interpolation entre des niveaux du modèle pour correspondre aux isobares choisies par le centre de production.",PDF
D42,"La gamme de valeurs pour le paramètre 0 04 015 va de –99 à 99, la séquence commune du code CREX D 06 019 étant la séquence d’origine avec seulement 2 caractères pour le descripteur correspondant.",PDF
D43,Le fait de séparer les données satellitaires correspondant à un seul niveau en séries de messages BUFR facilite la compression et permet une transmission et un stockage efficaces des données.,PDF
D45,"Certains types de station ne sont pas à même de décrire avec précision l’état du revêtement. Ils peuvent seulement indiquer, par exemple, que la chaussée n’est «pas sèche» ou bien «verglacée». La table de code relative à l’état du revêtement a été ajustée en conséquence.",PDF
D49,La majorité des stations ne disposent que d’une seule position sur la route et d’un seul capteur de température sous la surface. Des répétitions différées ont été introduites pour accroître la flexibilité et l’efficacité en termes de volume.,PDF
D51,"Il y a lieu d’indiquer, s’il est connu, le nombre d’années manquantes dans la période de référence utilisée pour le calcul des normales de la température maximale et de la température minimale, en plus du nombre d’années manquantes pour les températures extrêmes de l’air indiqué par 0 08 020 précédé par 0 08 050 dont le chiffre de code 3 est utilisé.",PDF
D57,"L’indicatif d’appel du navire, ou l’indicatif OMM, devrait être signalé au moyen du descripteur 0 01 011.",PDF
D58,"Il s’agit de déterminer si les niveaux de la tropopause indiqués ci-après sont des valeurs minimales, maximales ou ponctuelles (code de la valeur manquante).",PDF
D59,Indication du début de la période d’un mois.,PDF
D61,"Le descripteur 0 19 007 indique une valeur manquante, sauf si la coupe horizontale décrite correspond à un cercle.",PDF
D62,"Les descripteurs 3 01 041 à 3 01 049 et 3 01 062, 3 01 071, et 3 01 072 ne devraient pas être utilisés pour la transmission dans le CREX.",PDF
D69,Ne plus employer cette séquence compte tenu de l’usage incorrect du descripteur 0 04 075; il y a lieu d’utiliser en remplacement la séquence 3 06 019.,PDF
D70,Cette valeur correspond à l’altitude réelle et officielle de la station ou alors à la meilleure estimation de cette altitude. Elle est fournie à titre de comparaison avec l’altitude virtuelle fournie par le modèle. Les deux valeurs peuvent présenter une différence importante en terrain escarpé. Le facteur d’échelle a été augmenté pour permettre une comparaison directe de la valeur avec l’élément 0 07 030 qui suit.,PDF
D72,"Il convient de transmettre l’heure du lâcher avec la plus grande précision possible. Lorsqu’on ne dispose pas de l’heure du lâcher à la seconde près, il faut mettre à zéro le bit correspondant aux secondes.",PDF
D73,"Dans la Région IV, la température maximale transmise à 1200 UTC est celle du jour précédent (l’heure de fin de la période ne correspond pas à l’heure de référence du message). Pour définir la période considérée, il faut répéter une fois le descripteur 0 04 024. Si la période se termine à l’heure de référence du message, le descripteur 0 04 024 est mis à 0 la deuxième fois qu’il apparaît .",PDF
D74,"Pour représenter l’intensité des précipitations, le type de précipitation et l’état de fonctionnement, on utilise respectivement les descripteurs 0 20 024 (table de code), 0 20 021 (table d’indicateurs) et 0 33 005 (table d’indicateurs).",PDF
D77,"Dans la Région III, la température maximale diurne et la température minimale nocturne sont trans- mises (l’heure de fin de la période peut ne pas correspondre à l’heure de référence du message). Pour définir la période considérée, il faut répéter une fois le descripteur 0 04 024. Si la période se termine à l’heure de référence du message, le descripteur 0 04 024 est mis à 0 la deuxième fois qu’il apparaît .",PDF
D78,"Pour définir la période considérée, il faut répéter une fois le descripteur 0 04 024.",PDF
