noteID,note_ru,translation_source
24,"Если используется поле 0 01 011, данное поле пропускается, и наоборот.",PDF
25,"Если высота датчика изменялась в течение указанного периода, значение равно тому значению, которое наблюдалось в течение большей части данного периода.",PDF
26,"Если радиозонд снабжен датчиком относительной влажности, 0 13 009 в последовательности должна всегда сообщаться в качестве обязательной величины, а температура точки росы может быть включена как производная величина. Если радиозонд снабжен датчиком точки росы, 0 12 103 в последовательности должна всегда сообщаться, а дескриптор 0 13 009 следует установить на отсутствующее значение.",PDF
27,"В случае измерений осадков одномесячный период начинается в 06 ВСВ в первый день месяца и заканчивается в 06 ВСВ в первый день следующего месяца.",PDF
28,"В контексте 3 10 067 значения давления, следующие непосредственно за компонентами ветра, следует считать относящимися к данным компонентам.",PDF
29,"В данном случае термин «прореживание» относится к методу, который может быть применим для выбора подкомплекта уровней из модели, которая может иметь много собственных вертикальных уровней. Выбор только подкомплекта уменьшает размер псевдозондирования при возможной стоимости потери информации и дополнительной обработке.",PDF
30,"В этой последовательности для представления данных, полученных при спуске радиозонда, указание стандартных уровней с использованием значимости продленного вертикального зондирования (0 08 042) не является обязательным.",PDF
31,"Целое число, присвоенное оператором, дискретно увеличивается для каждой новой трансекты (т. е. все спуски имеют один и тот же номер трансекты, пока судно движется от одного конечного пункта маршрута в другой конечный пункт; как только судно прибыло в порт и следует обратно, чтобы начать новую трансекту, тогда номер трансекты дискретно увеличивается). Исходная величина и последующие величины номеров трансект не имеют значения при условии, что каждая новая трансекта, выполняемая судном в рейсе, имеет номер трансекты выше, чем предыдущие номера трансект, выполненных на одном и том же маршруте одним и тем же судном. В случае, если в течение одного круиза плавание выполняется подряд более чем по одному маршруту ППС, тогда номер трансекты должен дискретно увеличиваться каждый раз, когда судно меняет маршрут.",PDF
32,"Можно доказать, что поскольку возможны только дополнения, то следует разрешать только полные строки; однако ошибочно полагать, что отдельные районы будут требовать изменений так же, как и дополнений, поэтому лучше и понятнее обеспечивать описания по всем полям.",PDF
33,"Лучше использовать различные дескрипторы класса 00 для определения и определенных элементов, таким же образом, как различные дескрипторы соответствуют давлению, рассматриваемому как координата, и давлению, измеренному в определенной точке. В противном случае будут необходимы специальные правила для интерпретации такого сообщения. Позиции 0 00 010 — 0 00 012 определяют F, X и Y для таблиц B и D; позиция 0 00 030 — дескриптор, используемый в качестве данных, и дает значения F, X и Y, определяющие последовательность для позиций таблицы D.",PDF
34,"Сдвиг по широте 0 05 015 в последовательности представляет собой смещение по широте относительно места запуска. Сдвиг по долготе 0 06 015 в последовательности представляет собой смещение по долготе относительно места запуска.",PDF
35,"Перемещение за длительное время 0 04 086 в последовательности представляет собой интервал времени, прошедшего с момента запуска, 3 01 013 (в секундах).",PDF
37,"Отсутствующее значение для ненаправленных спектров.",PDF
39,"Ненаправленные спектры (Ib = 0 в WAVEOB) или частично направленные спектры (Ib = 1 в WAVEOB с одним направлением на каждое волновое число). Значение = 0 (полные направленные спектры) или 1 (ненаправленные спектры или частично направленные спектры). Частично направленные спектры имеют только одно направление на каждое волновое число полосы.",PDF
40,"Уровни собственной вертикальной координаты модели, не находящиеся у поверхности, преобразуются в координату давления. Это делает уровни намного более понятными для интерпретации человеком и проще для использования общими демонстрационными приложениями. Эти уровни могут точно соответственно собственным уровням модели или могут быть интерполированы между уровнями модели и уровнями давления, выбранными центром-производителем.",PDF
41,"Обычно 1; может быть 2, если используются и датчик вертикальной качки, и датчик наклона, или 0, если спектральные данные отсутствуют.",PDF
42,"Область значения для параметра 0 04 015 лимитирована от -99 до 99; общая последовательность D 06 019 кода CREX является исходной последовательностью с 2 символами только для соответствующего дескриптора.",PDF
43,"Выделение спутниковых данных по одному слою в наборы сообщений BUFR оказывается полезным при сжатии и в результате выражается в эффективной передаче и хранении данных.",PDF
44,"Последовательность 3 09 030 применять не следует по причине некорректного использования дескриптора 0 04 015; вместо нее следует использовать последовательность 3 09 031.",PDF
45,"Некоторые типы станций не в состоянии точно определить состояние поверхности. Они могут сообщать только о таких условиях, как «поверхность не сухая» или «гололед». Кодовая таблица для состояния поверхности дорожного покрытия была скорректирована соответствующим образом.",PDF
49,"Большинство станций имеют только одно местоположение на дороге и один датчик для измерения подповерхностной температуры. Повторение с задержкой вводится для повышения гибкости и коэффициента объема.",PDF
51,"Число отсутствующих годов в рамках периода отсчета, полученное в результате расчета нормы для средней экстремальной температуры воздуха, следует указывать, если оно имеется, как для расчета нормальной максимальной температуры, так и для расчета нормальной минимальной температуры в дополнение к числу отсутствующих годов для экстремальных температур воздуха, указанных в 0 08 020 с предшествующим 0 08 050, в котором используется цифра 3.",PDF
57,"Позывной сигнал судна или идентификатор ВМО следует сообщать посредством дескриптора 0 01 011.",PDF
58,"Статистические данные должны определять, являются ли последующие уровни тропопаузы минимальными, максимальными или точечными величинами (отсутствующая кодовая величина).",PDF
59,"Идентификация времени относится к началу одномесячного периода.",PDF
61,"Значение, сообщаемое для 0 19 007, является «отсутствующим», если только описываемое горизонтальное сечение не является кругом.",PDF
62,"Настоящие позиции включают средство по совершенствованию кодовых цифр таблицы А и описания данных.",PDF
63,"Для передачи данных в коде CREX не следует использовать дескрипторы 3 01 041 — 3 01 049, 3 01 062, 3 01 071 и 3 01 072.",PDF
64,"Данный дескриптор применяется для метода, использовавшегося для выборки горизонтов температурного профиля воды, закодированных с помощью 3 15 005. Если данные о температуре сообщаются по характерным горизонтам, то значения должны: a) быть достаточными для воссоздания основных характерных особенностей профиля; b) определять верхнюю и нижнюю границы изотермических слоев.",PDF
65,"Этот коэффициент повторения имеет значение «1», когда дается описание двухмерной характеристики, в то время как трехмерные характеристики могут быть описаны при помощи любого из следующих методов: a) При помощи двух или более горизонтальных сечений в последовательностях возрастающих эшелонах полета. В этом случае каждое сечение описывается посредством идентичного количества точек широты/долготы, перечисленных в идентичном порядке (т. е. когда каждая точка x сечения n должна соединяться по прямой линии с точкой x сечения n+1) для обеспечения того, чтобы общая форма трехмерной характеристики была описана однозначным образом. В этом случае все значения, сообщенные для 0 33 042, являются «отсутствующими». b) При помощи единого горизонтального сечения с надлежащим значением, сообщенным для 0 33 042, следующим образом. Во всех подобных случаях соответствующее описание горизонтального сечения применяется ко всему району: i) Величина «0» для указания района выше сообщаемого эшелона полета (но не включая его) и с неопределенной верхней границей. ii) Величина «1» для указания района выше сообщаемого эшелона полета (включая его) и с неопределенной верхней границей. iii) Величина «2» для указания района ниже сообщаемого эшелона полета (но не включая его) и достигающего поверхности. iv) Величина «3» для указания района ниже сообщаемого эшелона полета (включая его) и достигающего поверхности. c) При помощи двух повторений одного и того же горизонтального сечения того же самого сообщаемого эшелона полета для указания района, находящегося как ниже, так и выше сообщаемого эшелона полета (включая его!). В этом случае величины, сообщенные для двух повторений 0 33 042, должны быть следующими: i) Величины «3» и «1», соответственно, для указания района, начинающегося ниже сообщаемого эшелона полета, но продолжающегося через этот эшелон в верхнем направлении до некоторой неопределенной точки выше (например, TOP ABV FL100). ii) Величины «1» и «3», соответственно, для указания района, начинающегося выше сообщаемого эшелона полета, но продолжающегося через этот эшелон в нижнем направлении до некоторой неопределенной точки ниже (например, CIGS BLW FL010).",PDF
66,"Этот коэффициент повторения имеет значение «1», когда дается описание круга или точки, и имеет значение «2», когда дается описание линии. Многоугольник, с другой стороны, описывается при помощи последовательности из трех или более последовательных точек в соответствии с примечанием к кодовой таблице 0 08 007.",PDF
67,"Данная последовательность исключена, поскольку в ней содержится исключенная последовательность 3 09 030; вместо 3 09 040, 3 09 041, 3 09 042, 3 09 043 и 3 09 044 должны использоваться соответственно последовательности 3 09 045, 3 09 046, 3 09 047, 3 09 048 и 3 09 049.",PDF
68,"Данная последовательность исключена из-за неправильного использования дескриптора 0 04 075 в последовательности 3 06 020; вместо нее должна использоваться последовательность 3 06 025.",PDF
69,"Данная последовательность исключена из-за неправильного использования дескриптора 0 04 075; вместо нее должна использоваться последовательность 3 06 019.",PDF
70,"Данная величина является официальной или наилучшей оценкой фактической высоты станции. Она предоставляется для сравнения с виртуальной высотой местности в модели. Эти две величины могут значительно отличаться при пересеченной местности. Масштабный коэффициент увеличен для того, чтобы величина была непосредственно сравнима с дескриптором 0 07 030 ниже.",PDF
71,"Время запуска 3 01 013 в последовательности должно быть указано с наибольшей возможной точностью. Если секунды времени запуска неизвестны, их значение должно быть обозначено как нуль.",PDF
72,"Время запуска должно быть указано с наибольшей возможной точностью. Если секунды времени запуска неизвестны, их значение должно быть обозначено как нуль.",PDF
73,"Для создания необходимого временного диапазона дескриптор 0 04 024 необходимо включать два раза.",PDF
74,"Для представления интенсивности осадков, типа осадков и функциональных условий используются дескрипторы 0 20 024 (кодовая таблица), 0 20 021 (таблица флагов) и 0 33 005 (таблица флагов) соответственно.",PDF
75,"В последовательностях 3 07 045, 3 07 048 и 3 07 053 максимальная скорость ветра (порывы) должна сообщаться в тех же единицах, как и в исходных данных ТАС и: дескриптор 0 11 085 должен быть установлен на отсутствие, если максимальная скорость ветра сообщается в узлах или м·с-1 в данных ТАС, дескриптор 0 11 086 должен быть установлен на отсутствие, если максимальная скорость ветра сообщается в км·ч-1 или м·с-1 в данных ТАС.",PDF
76,"В последовательностях 3 07 045, 3 07 048 и 3 07 053 скорость ветра должна сообщаться в тех же единицах, как и в исходных данных ТАС и: дескриптор 0 11 083 должен быть установлен на отсутствие, если скорость ветра сообщается в узлах или м·с-1 в данных ТАС, дескриптор 0 11 084 должен быть установлен на отсутствие, если скорость ветра сообщается в км·ч-1 или м·с-1 в данных ТАС.",PDF
77,"В пределах РА III сообщаются данные о максимальной температуре в дневное время и минимальной температуре в ночное время (т. е. время окончания периода может быть не равным номинальному времени сводки). Для создания необходимого временного диапазона дескриптор 0 04 024 необходимо включать два раза. Если период заканчивается в номинальное время сводки, то значение второго дескриптора 0 04 024 необходимо установить на 0.",PDF
78,"В пределах РА IV данные о максимальной температуре на 12:00 ВСВ сообщаются за предыдущий календарный день (т. е. время окончания периода не равно номинальному времени сводки). Для создания необходимого временного диапазона дескриптор 0 04 024 необходимо включать два раза. Если период заканчивается в номинальное время сводки, то значение второго дескриптора 0 04 024 необходимо установить на 0.",PDF
