ID,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translation_source
bufr4/0/13/118,13,Éléments hygrographiques et hydrologiques,013118,Épaisseur de neige fraîche (précision élevée),m,3,-2,14,m,3,5,(voir Note 10),41,Operational,Original
bufr4/0/13/119,13,Éléments hygrographiques et hydrologiques,013119,hauteur de neige,m,3,-10000,15,,,,(Voir la Note 18),194,Operational,AI Translator: MCP
bufr4/0/13/155,13,Éléments hygrographiques et hydrologiques,013155,Intensité des précipitations (précision élevée),kg m-2 s-1,5,-1,16,mm/h,2,5,(voir Note 8),28,Operational,Original
bufr4/0/13/160,13,Éléments hygrographiques et hydrologiques,013160,Teneur en eau liquide fournie par le radiomètre,kg m-2,2,-350,10,kg m-2,2,3,,,Operational,Original
bufr4/0/13/161,13,Éléments hygrographiques et hydrologiques,013161,L'énergie potentielle disponible convective la plus instable (CAPE),J/kg,0,0,14,,,,,,Operational,AI Translator: MCP
bufr4/0/13/162,13,Éléments hygrographiques et hydrologiques,013162,Teneur en eau liquide des nuages,kg m-2,2,0,8,kg m-2,2,3,,,Operational,Original
bufr4/0/13/163,13,Éléments hygrographiques et hydrologiques,013163,Équivalent en eau de la neige,kg m-2,0,0,16,kg m-2,0,5,,,Operational,Original
bufr4/0/13/164,13,Éléments hygrographiques et hydrologiques,013164,Franc-bord pour les glaces de mer,m,3,-131072,18,m,3,6,,,Operational,Original
bufr4/0/13/165,13,Éléments hygrographiques et hydrologiques,013165,Énergie potentielle disponible convective (CAPE),J/kg,0,0,14,J/kg,0,5,((voir Note 11)),186,Operational,AI Translator: MCP
bufr4/0/13/166,13,Éléments hygrographiques et hydrologiques,013166,Index des totaux totaux,K,1,0,10,C,0,5,((voir Note 12)),187,Operational,AI Translator: MCP
bufr4/0/13/167,13,Éléments hygrographiques et hydrologiques,013167,Indice S (STT),K,1,-1000,11,C,0,6,((voir Note 13)),188,Operational,AI Translator: MCP
bufr4/0/13/168,13,Éléments hygrographiques et hydrologiques,013168,Indice de menace de brouillard,K,1,-100,8,C,0,5,((voir Note 14)),190,Operational,AI Translator: MCP
bufr4/0/13/169,13,Éléments hygrographiques et hydrologiques,013169,Indice de potentiel de jour de microburst (MDPI),K/K,1,-100,8,K/K,0,5,((voir Note 15)),191,Operational,AI Translator: MCP
bufr4/0/13/170,13,Éléments hygrographiques et hydrologiques,013170,Indice TQ,K,1,-1000,11,C,0,6,((voir Note 16)),190,Operational,AI Translator: MCP
bufr4/0/13/171,13,Éléments hygrographiques et hydrologiques,013171,CIN (inhibition convective),J/kg,0,-1000,10,J/kg,0,5,((voir Note 17)),192,Operational,AI Translator: MCP
