ID,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translation_source
bufr4/0/15/015,15,Constituants physiques/chimiques,015015,Valeur maximale du spectre de l'image avant normalisation,Numérique,0,0,31,Numérique,0,10,,,Operational,Original
bufr4/0/15/020,15,Constituants physiques/chimiques,015020,Densité d'ozone intégrée,kg m-2,8,0,21,kg m-2,8,7,,,Operational,Original
bufr4/0/15/021,15,Constituants physiques/chimiques,015021,Densité de masse intégrée,kg m-2,11,0,31,kg m-2,11,10,,,Operational,Original
bufr4/0/15/022,15,Constituants physiques/chimiques,015022,Densité de masse intégrée étendue,kg m-2,1,-100000000,31,kg m-2,1,10,,,Operational,AI Translator: MCP
bufr4/0/15/024,15,Constituants physiques/chimiques,015024,Épaisseur optique,Numérique,4,0,24,Numérique,4,8,,,Operational,Original
bufr4/0/15/025,15,Constituants physiques/chimiques,015025,Type de polluant,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/15/026,15,Constituants physiques/chimiques,015026,Concentration du polluant (mol mol-1),mol/mol,9,0,9,mol/mol,9,3,,,Operational,Original
bufr4/0/15/027,15,Constituants physiques/chimiques,015027,Concentration du polluant (kg m-3),kg m-3,9,0,10,kg m-3,9,4,,,Operational,Original
bufr4/0/15/028,15,Constituants physiques/chimiques,015028,Fraction molaire du constituant/ polluant atmosphérique en air sec,‰,5,0,16,‰,5,5,,,Operational,Original
bufr4/0/15/029,15,Constituants physiques/chimiques,015029,Coefficient d'atténuation,/m,9,0,30,/m,9,10,,,Operational,Original
bufr4/0/15/030,15,Constituants physiques/chimiques,015030,Indice de contamination par aérosols,Numérique,2,-1000,12,Numérique,2,4,(voir Note 6),79,Operational,Original
bufr4/0/15/031,15,Constituants physiques/chimiques,015031,Retard de propagation dans l'atmosphère du signal du satellite,m,4,10000,15,m,4,5,,,Operational,Original
bufr4/0/15/032,15,Constituants physiques/chimiques,015032,Erreur estimative du retard de propagation dans l'atmosphère,m,4,0,10,m,4,4,,,Operational,Original
bufr4/0/15/033,15,Constituants physiques/chimiques,015033,Différence des retards de propagation pour des visées du limbe aux limites extrêmes du balayage,m,5,-10000,15,m,5,5,,,Operational,Original
bufr4/0/15/034,15,Constituants physiques/chimiques,015034,Erreur estimative de la différence des retards de propagation,m,5,0,14,m,5,5,,,Operational,Original
bufr4/0/15/035,15,Constituants physiques/chimiques,015035,Composante du retard de propagation pour une visée au zénith due à la vapeur d'eau,m,4,0,14,m,4,5,,,Operational,Original
bufr4/0/15/036,15,Constituants physiques/chimiques,015036,Réfractivité atmosphérique,Unités N,3,0,19,Unités N,3,6,(voir Note 5),142,Operational,Original
bufr4/0/15/037,15,Constituants physiques/chimiques,015037,Angle de courbure,rad,8,-100000,23,rad,8,7,,,Operational,Original
bufr4/0/15/038,15,Constituants physiques/chimiques,015038,Retard de trajectoire dû à l'atmosphère neutre,m,4,0,20,m,4,11,((voir Note 10)),4,Operational,AI Translator: MCP
bufr4/0/15/039,15,Constituants physiques/chimiques,015039,Erreur estimée dans le retard de trajet de l'atmosphère neutre,m,4,0,14,m,4,9,,,Operational,AI Translator: MCP
bufr4/0/15/041,15,Constituants physiques/chimiques,015041,Indice de dioxyde de soufre,Numérique,2,-1200,14,Numérique,2,4,(voir Note 7),78,Operational,Original
bufr4/0/15/042,15,Constituants physiques/chimiques,015042,Facteur de réflexion,%,2,0,14,%,2,5,,,Operational,Original
bufr4/0/15/043,15,Constituants physiques/chimiques,015043,Nombre de couches de noyau de moyennage,Numérique,0,0,10,Numérique,0,0,,,Operational,AI Translator: MCP
bufr4/0/15/044,15,Constituants physiques/chimiques,015044,Valeur du noyau de moyenne,Numérique,6,-5000000,31,Numérique,0,0,,,Operational,AI Translator: MCP
bufr4/0/15/045,15,Constituants physiques/chimiques,015045,Dioxyde de soufre,DU,2,-2000,15,DU,2,5,(voir Note 8),77,Operational,Original
bufr4/0/15/046,15,Constituants physiques/chimiques,015046,Indice de contamination volcanique,Numérique,2,-1000,11,Numérique,2,4,(voir Note 9),80,Operational,Original
bufr4/0/15/049,15,Constituants physiques/chimiques,015049,Exposant d'Ångström de l'aérosol,Numérique,3,-2000,14,Numérique,3,5,,,Operational,Original
bufr4/0/15/051,15,Constituants physiques/chimiques,015051,Portée optique météorologique,m,0,0,18,m,0,6,,,Operational,Original
bufr4/0/15/052,15,Constituants physiques/chimiques,015052,Log10 de la concentration en nombre de particules d'aérosols de diamètre supérieur à 5 nm,log(m-3),1,60,6,log(m-3),1,3,,,Operational,Original
bufr4/0/15/053,15,Constituants physiques/chimiques,015053,Log10 de la concentration en nombre de particules d'aérosols de diamètre supérieur à 14 nm,log(m-3),2,600,9,log(m-3),2,4,,,Operational,Original
bufr4/0/15/054,15,Constituants physiques/chimiques,015054,Log10 de la concentration en nombre de particules d'aérosols de diamètre compris entre 0.25 et 2.5 µm,log(m-3),2,550,9,log(m-3),2,4,,,Operational,Original
bufr4/0/15/055,15,Constituants physiques/chimiques,015055,Proportion d'aérosols non volatils,Numérique,2,0,7,Numérique,2,3,,,Operational,Original
bufr4/0/15/062,15,Constituants physiques/chimiques,015062,Épaisseur optique des aérosols,Numérique,3,-1000,14,Numérique,3,5,,,Operational,Original
bufr4/0/15/063,15,Constituants physiques/chimiques,015063,Rétrodiffusion atténuée,m-1 sr-1,8,0,20,m-1 sr-1,8,7,,,Operational,Original
bufr4/0/15/064,15,Constituants physiques/chimiques,015064,Incertitude relative à la rétrodiffusion atténuée,m-1 sr-1,8,0,20,m-1 sr-1,8,7,,,Operational,Original
bufr4/0/15/065,15,Constituants physiques/chimiques,015065,Coefficient de rétrodiffusion des particules,m-1 sr-1,8,0,20,m-1 sr-1,8,7,,,Operational,Original
bufr4/0/15/066,15,Constituants physiques/chimiques,015066,Incertitude relative au coefficient de rétrodiffusion des particules,m-1 sr-1,8,0,20,m-1 sr-1,8,7,,,Operational,Original
bufr4/0/15/067,15,Constituants physiques/chimiques,015067,Coefficient d'atténuation des particules,m-1,8,0,20,m-1,8,7,,,Operational,Original
bufr4/0/15/068,15,Constituants physiques/chimiques,015068,Incertitude relative au coefficient d'atténuation des particules,m-1,8,0,20,m-1,8,7,,,Operational,Original
bufr4/0/15/069,15,Constituants physiques/chimiques,015069,Rapport lidar des particules,sr,2,0,14,sr,2,5,,,Operational,Original
bufr4/0/15/070,15,Constituants physiques/chimiques,015070,Incertitude relative au rapport lidar,sr,2,0,14,sr,2,5,,,Operational,Original
bufr4/0/15/071,15,Constituants physiques/chimiques,015071,Rapport de dépolarisation des particules,%,2,0,14,%,2,5,,,Operational,Original
bufr4/0/15/072,15,Constituants physiques/chimiques,015072,Incertitude relative au rapport de dépolarisation,%,2,0,14,%,2,5,,,Operational,Original
bufr4/0/15/073,15,Constituants physiques/chimiques,015073,Rétrodiffusion atténuée,m-1 sr-1,8,-524288,20,m-1 sr-1,8,7,,,Operational,AI Translator: MCP
bufr4/0/15/074,15,Constituants physiques/chimiques,015074,Coefficient de rétrodiffusion des particules,m-1 sr-1,8,-524288,20,m-1 sr-1,8,7,,,Operational,AI Translator: MCP
bufr4/0/15/075,15,Constituants physiques/chimiques,015075,Coefficient d'atténuation des particules,m,8,-524288,20,m-1,8,7,,,Operational,AI Translator: MCP
bufr4/0/15/076,15,Constituants physiques/chimiques,015076,Rapport lidar des particules,sr,1,-2048,13,sr,1,5,,,Operational,AI Translator: MCP
bufr4/0/15/077,15,Constituants physiques/chimiques,015077,Incertitude relative au rapport lidar,sr,1,0,12,sr,1,5,,,Operational,AI Translator: MCP
bufr4/0/15/078,15,Constituants physiques/chimiques,015078,Rapport de dépolarisation des particules,%,2,-8192,15,%,2,5,,,Operational,AI Translator: MCP
bufr4/0/15/079,15,Constituants physiques/chimiques,015079,Retard de trajectoire au zénith dû à l'atmosphère neutre,m,4,0,15,m,4,9,((voir Note 11)),5,Operational,AI Translator: MCP
bufr4/0/15/080,15,Constituants physiques/chimiques,015080,Erreur estimée dans le retard de trajet au zénith de l'atmosphère neutre,m,4,0,12,m,4,8,,,Operational,AI Translator: MCP
bufr4/0/15/081,15,Constituants physiques/chimiques,015081,Retard de trajet humide dû à l'atmosphère neutre,m,4,0,18,m,4,10,((voir Note 12)),6,Operational,AI Translator: MCP
bufr4/0/15/082,15,Constituants physiques/chimiques,015082,Vapeur d'eau intégrée sur le trajet,kg m-2,1,0,16,kg m-2,1,10,((voir Note 16)),16,Operational,AI Translator: MCP
bufr4/0/15/083,15,Constituants physiques/chimiques,015083,Gradient de l'atmosphère neutre dérivé du GNSS,m,5,-8192,14,m,5,9,((voir Note 17)),7,Operational,AI Translator: MCP
bufr4/0/15/084,15,Constituants physiques/chimiques,015084,Résidu des moindres carrés GNSS,m,4,0,14,m,4,9,(Voir la note 18),17,Operational,AI Translator: MCP
bufr4/0/15/085,15,Constituants physiques/chimiques,015085,Retard multi-trajet GNSS,m,4,0,14,m,4,9,((voir Note 15)),8,Operational,AI Translator: MCP
bufr4/0/15/086,15,Constituants physiques/chimiques,015086,Fonction de cartographie hydrostatique GNSS,Numérique,3,0,16,Numérique,3,10,((voir Note 19)),22,Operational,AI Translator: MCP
bufr4/0/15/087,15,Constituants physiques/chimiques,015087,Fonction de cartographie humide GNSS,Numérique,3,0,16,Numérique,3,10,((voir Note 19)),22,Operational,AI Translator: MCP
bufr4/0/15/088,15,Constituants physiques/chimiques,015088,Fonction de cartographie des gradients GNSS,Numérique,3,0,16,Numérique,3,10,((voir Note 19)),22,Operational,AI Translator: MCP
bufr4/0/15/089,15,Constituants physiques/chimiques,015089,Retard de trajet au zénith dû à l'atmosphère neutre hydrostatique,m,4,0,15,m,4,9,((voir Note 13)),18,Operational,AI Translator: MCP
bufr4/0/15/090,15,Constituants physiques/chimiques,015090,Retard de trajet dû à l'atmosphère hydrostatique neutre,m,4,0,20,m,4,11,((voir Note 14)),19,Operational,AI Translator: MCP
